,artist,genre
271,Sueco the Child,
272,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']"
273,Bazzi,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
274,Post Malone,"['dfw rap', 'melodic rap', 'rap']"
275,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']"
276,Travis Scott,['rap']
277,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
278,Desiigner,"['pop rap', 'rap', 'trap', 'viral trap']"
279,Andy Mineo,"['christian hip hop', 'christian trap']"
280,Rob $tone,['san diego rap']
281,Lil Nas X,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']"
282,21 Savage,"['atl hip hop', 'rap', 'trap']"
283,Ty Dolla $ign,"['hip hop', 'pop', 'pop rap', 'r&b', 'trap', 'trap soul']"
284,Waka Flocka Flame,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
285,Lil Yachty,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap']"
286,Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
287,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
288,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
289,Khalid,"['alternative r&b', 'pop']"
290,Kid Ink,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
291,Famous Dex,"['chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
292,T-Pain,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
293,VIC MENSA,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
294,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
295,Wale,"['dance pop', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
296,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']"
297,Childish Gambino,"['atl hip hop', 'hip hop', 'pop rap', 'rap']"
298,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']"
299,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
300,DaBaby,"['north carolina hip hop', 'rap']"
301,Amine,"['hip hop', 'pop rap', 'portland hip hop', 'rap', 'underground hip hop']"
302,B.o.B,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop dance', 'pop rap', 'rap', 'southern hip hop']"
303,Farid Bang,"['deep german hip hop', 'german hip hop']"
304,DeJ Loaf,"['detroit hip hop', 'pop r&b', 'pop rap', 'rap', 'trap', 'trap queen']"
305,Russ,"['hawaiian hip hop', 'pop rap', 'rap']"
306,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
307,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
308,Vince Staples,"['conscious hip hop', 'escape room', 'hip hop', 'rap', 'underground hip hop']"
309,Omarion,"['dance pop', 'hip pop', 'pop r&b', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
310,Eric Bellinger,"['dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'trap', 'urban contemporary']"
311,Playboi Carti,"['atl hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']"
312,Roy Woods,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'trap', 'trap soul', 'underground hip hop']"
313,Bobby Shmurda,"['nyc rap', 'trap']"
314,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
315,Jeremih,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
316,Ugly God,"['meme rap', 'trap', 'underground hip hop', 'vapor trap']"
317,Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'trap']"
318,MadeinTYO,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
319,ElGrandeToto,"['arabic hip hop', 'moroccan pop', 'rap maroc']"
320,Megan Thee Stallion,"['houston rap', 'pop', 'pop rap', 'trap queen']"
321,Young M.A,"['lgbtq+ hip hop', 'nyc rap', 'pop rap', 'rap', 'trap']"
322,Phora,"['deep underground hip hop', 'oc rap', 'pop r&b']"
323,Madd,"['contemporary country', 'country']"
324,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
325,"Tyler, The Creator","['hip hop', 'rap']"
326,Naar,[]
327,Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
328,L.A. Leakers,[]
329,Dreezy,"['chicago rap', 'drill', 'hip pop', 'pop r&b', 'trap queen']"
330,Tory Lanez,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']"
331,DJ Khaled,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
332,Yo Gotti,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
333,Wiz Khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
334,Quality Control,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
335,Cordae,"['dmv rap', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop', 'vapor trap']"
336,PARTYNEXTDOOR,"['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary']"
337,TK Kravitz,"['pop r&b', 'trap']"
338,7liwa,"['arabic hip hop', 'moroccan pop', 'rap maroc']"
339,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop', 'r&b', 'urban contemporary']"
340,WizKid,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']"
341,O.T. Genasis,"['gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
342,Danny Brown,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'rap', 'underground hip hop']"
343,Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
344,ILOVEMAKONNEN,"['atl hip hop', 'lgbtq+ hip hop', 'trap', 'underground hip hop']"
345,GoldLink,"['alternative r&b', 'dmv rap', 'hip hop', 'indie soul', 'rap', 'underground hip hop']"
346,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'queens hip hop']"
347,Gucci Mane,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
348,Shelley FKA DRAM,"['pop rap', 'rap', 'trap', 'virginia hip hop']"
349,Flatbush Zombies,"['escape room', 'hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']"
350,Timbaland,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'urban contemporary']"
351,Rich Gang,"['rap', 'southern hip hop', 'trap']"
352,Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
353,ScHoolboy Q,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
354,Young Greatness,['new orleans rap']
355,Bas,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']"
356,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
357,Earl Sweatshirt,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']"
358,YFN Lucci,"['arkansas hip hop', 'atl hip hop', 'melodic rap', 'pop r&b', 'rap', 'southern hip hop', 'trap']"
359,KAYTRANADA,"['escape room', 'indie soul', 'lgbtq+ hip hop']"
360,guccihighwaters,"['emo rap', 'sad rap']"
361,San Holo,"['edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'pop dance', 'pop edm', 'vapor twitch']"
362,Justin Stone,"['deep underground hip hop', 'indie pop rap', 'pop rap']"
363,Flame,"['christian hip hop', 'christian trap']"
364,Bazanji,"['bass trap', 'deep underground hip hop', 'pop rap']"
365,Nate Feuerstein,[]
366,Fame on Fire,['post-screamo']
367,Elephante,"['big room', 'edm', 'electro house', 'electropop', 'future bass', 'indie poptimism', 'pop dance', 'pop edm', 'tropical house']"
368,Unlike Pluto,"['bass trap', 'indie poptimism', 'modern alternative rock', 'modern rock', 'rock']"
369,Lil Skies,"['melodic rap', 'pop rap', 'rap', 'trap']"
370,Abstract,"['indie pop rap', 'pop rap']"
371,OneRepublic,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']"
372,Nathan Feuerstein,[]
373,Jdam,['deep underground hip hop']
374,Lucidious,[]
375,X Ambassadors,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock', 'stomp pop']"
376,Aero Chord,"['bass trap', 'edm', 'gaming edm', 'traprun']"
377,DJ Samentro,[]
378,Huncho Jack,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
379,PRETTYMUCH,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'social media pop']"
380,bülow,"['dance pop', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'social media pop']"
381,Camila Cabello,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
382,Loote,"['dance pop', 'electropop', 'indie poptimism', 'nyc pop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house', 'uk pop']"
383,Ruth B.,"['canadian contemporary r&b', 'canadian pop', 'indie cafe pop', 'pop', 'post-teen pop', 'viral pop']"
384,Cody Simpson,"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
385,Kiiara,"['dance pop', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']"
386,HRVY,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'social media pop']"
387,Pia Mia,"['dance pop', 'pop', 'pop dance', 'pop r&b', 'post-teen pop', 'r&b', 'social media pop', 'urban contemporary']"
388,Fly By Nightcore,['nightcore']
389,Katie Sky,[]
390,Karmin,"['dance pop', 'electropop', 'pop dance', 'post-teen pop', 'viral pop']"
391,Hey Violet,"['dance pop', 'electropop', 'indie poptimism', 'modern rock', 'pixie', 'pop', 'post-teen pop', 'social media pop']"
392,Melanie Martinez,"['dance pop', 'electropop', 'pop']"
393,Clean Bandit,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
394,Au/Ra,"['deep pop edm', 'electropop', 'indie poptimism', 'pop']"
395,Natalia Kills,"['candy pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
396,Ava Max,"['dance pop', 'pop']"
397,Bahari,['la pop']
398,Lia Marie Johnson,['teen pop']
399,Stephanie Mabey,['otacore']
400,Static-P,['otacore']
401,Cady Groves,"['alternative pop rock', 'neon pop punk', 'pop emo']"
402,Kat Dahlia,"['hip pop', 'miami hip hop']"
403,Billie Eilish,"['electropop', 'pop']"
404,Molly Kate Kestner,['lds youth']
405,Duke Dumont,"['dance pop', 'destroy techno', 'disco house', 'edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house', 'uk dance']"
406,Volbeat,"['alternative metal', 'danish metal', 'danish rock']"
407,Kid Quill,"['indiana hip hop', 'indie pop rap', 'pop rap']"
408,Tsuko G.,"['antiviral pop', 'eurobeat', 'meme rap', 'otacore']"
409,Rob Cantor,[]
410,Teriyaki Boyz,[]
411,Richard Cheese,"['comic', 'comic metal']"
412,Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
413,Die Antwoord,"['african rock', 'south african alternative', 'south african hip hop']"
414,GARRY B,[]
415,KVSH,"['brazilian edm', 'trance brasileiro']"
416,Bhaskar,"['brazilian bass', 'brazilian edm', 'brazilian house']"
417,Bora,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
418,Those 2 Guys,[]
419,RICCI,['brazilian edm']
420,Biometrix,"['bass trap', 'traprun']"
421,Riton,"['house', 'pop dance', 'uk dance']"
422,Uplink,"['gaming edm', 'pop edm']"
423,Riot Ten,"['dubstep', 'edm', 'electro house', 'electronic trap']"
424,Cat Dealers,"['brazilian edm', 'pop dance']"
425,Say Word,[]
426,Tom & Jame,"['big room', 'deep big room', 'dutch edm', 'electro house', 'pop edm', 'sky room']"
427,MEDUZA,"['edm', 'pop dance', 'pop house', 'tropical house']"
428,Lo Key,[]
429,2nd Life,"['bass trap', 'traprun']"
430,Laidback Luke,"['big room', 'deep big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
431,Levianth,"['bass trap', 'traprun']"
432,Mayra,"['afropop', 'morna', 'world']"
433,Project North,[]
434,Lucky Luke,"['lithuanian electronic', 'pop dance']"
435,LTGTR,['irish techno']
436,JØRD,['contemporary country']
437,Fatboy Slim,"['big beat', 'disco house']"
438,Example,"['dance pop', 'grime', 'hip house', 'house', 'pop dance', 'tropical house', 'uk dance']"
439,Takeoff,"['atl hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
440,Big Boi,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']"
441,A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']"
442,SOB X RBE,"['cali rap', 'trap', 'vapor trap']"
443,DMX,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
444,Beastie Boys,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap', 'rock']"
445,Quiet Riot,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']"
446,GRAVEDGR,"['bass trap', 'electronic trap']"
447,Omar LinX,"['canadian hip hop', 'indie pop rap']"
448,Deuce,['rap rock']
449,lil aaron,"['emo rap', 'glitchcore', 'pop rap']"
450,Out There,[]
451,Sujal Bhandari,[]
452,Shiki-TMNS,['meme rap']
453,BLENDER,[]
454,Derek Minor,"['christian hip hop', 'christian trap']"
455,Ollie,"['emo rap', 'sad rap']"
456,Njomza,[]
457,The March Ahead,"['post-post-hardcore', 'post-screamo']"
458,WE ARE FURY,"['bass trap', 'future bass', 'melodic dubstep', 'pop edm', 'traprun']"
459,Alex Goot,"['post-teen pop', 'viral pop']"
460,LUNDØN,[]
461,KB,"['christian hip hop', 'christian trap']"
462,Myles Parrish,"['christian hip hop', 'teen pop']"
463,lovelytheband,"['indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']"
464,Fancy Cars,"['pop edm', 'progressive electro house']"
465,Mike Shinoda,"['alternative hip hop', 'modern rock', 'rap rock']"
466,Brandon Colbein,[]
467,yesyes,[]
468,Raven Link,[]
469,Gallant,['alternative r&b']
470,Drumma Battalion,[]
471,Lundh,[]
472,Argui,[]
473,Jay Hardway,"['big room', 'deep big room', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
474,Vanda,"['hardcore punk', 'melodic hardcore', 'punk', 'ska', 'ska punk', 'skate punk']"
475,Dillon Francis,"['big room', 'brostep', 'dance pop', 'edm', 'electro house', 'electronic trap', 'electropop', 'moombahton', 'pop', 'pop dance', 'tropical house']"
476,Nicky Romero,"['big room', 'dance pop', 'deep big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
477,Au5,"['chillstep', 'complextro', 'dubstep', 'edm', 'electro house', 'future bass', 'gaming edm', 'melodic dubstep', 'pop edm']"
478,Knife Party,"['australian dance', 'big room', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton']"
479,Chico Rose,"['deep big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'tropical house']"
480,Dua Lipa,"['dance pop', 'pop', 'pop dance', 'uk pop']"
481,Take/Five,"['bass trap', 'electronic trap', 'traprun']"
482,KAAZE,"['big room', 'deep big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'sky room']"
483,NateWantsToBattle,"['antiviral pop', 'otacore']"
484,VGR,"['meme rap', 'otacore', 'vgm remix']"
485,dj-Jo,"['anime latino', 'otacore']"
486,CG5,['otacore']
487,Miura Jam,['otacore']
488,From Ashes to New,"['alternative metal', 'gymcore', 'post-screamo', 'rap rock']"
489,Story Of The Year,"['alternative metal', 'nu metal', 'pop punk', 'post-hardcore', 'screamo']"
490,BabyJake,"['pop', 'pop rap']"
491,6ix9ine,['emo rap']
492,Ski Mask The Slump God,"['miami hip hop', 'underground hip hop']"
493,Flipp Dinero,"['melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
494,Lil Mosey,"['melodic rap', 'rap conscient', 'trap', 'vapor trap']"
495,Lil Pump,"['emo rap', 'miami hip hop', 'rap', 'trap']"
496,Blueface,"['cali rap', 'trap']"
497,Sheck Wes,"['rap', 'trap', 'underground hip hop', 'vapor trap']"
498,Nebu Kiniza,"['melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
499,Rich The Kid,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
500,Tee Grizzley,"['detroit hip hop', 'detroit trap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
501,Smokepurpp,"['melodic rap', 'meme rap', 'miami hip hop', 'rap', 'trap', 'underground hip hop', 'vapor trap']"
502,Trippie Redd,"['melodic rap', 'rap', 'trap']"
503,Metro Boomin,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
504,Comethazine,"['meme rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']"
505,D1,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'rap rock']"
506,David Bjella,[]
507,Vibrational Healing,[]
508,Bohnes,"['modern rock', 'rebel blues']"
509,RetroVision,"['big room', 'deep big room', 'edm', 'electro house', 'gaming edm', 'pop edm']"
510,Stadiumx,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'sky room']"
511,NIVIRO,['gaming edm']
512,Zolita,"['electropop', 'indie poptimism', 'pop']"
513,Mikebøi,['traprun']
514,Manse,"['big room', 'deep big room', 'edm', 'electro house', 'pop edm', 'progressive electro house', 'progressive house', 'sky room']"
515,ItaloBrothers,"['dance pop', 'edm', 'europop', 'hands up', 'italo dance', 'pop dance']"
516,Redondo,"['deep groove house', 'deep house', 'deep tech house', 'deep tropical house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive house', 'tropical house']"
517,Rajitheone,['minnesota hip hop']
518,Sloppy Toaster,[]
519,Pogo,['plunderphonics']
520,iLOVEFRiDAY,['viral pop']
521,DJ Scheme,"['trap', 'underground hip hop', 'vapor trap']"
522,Gotye,['australian pop']
523,ricky retro,[]
524,Deorro,"['big room', 'dance pop', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']"
525,Disco Fries,"['deep big room', 'edm', 'electro house', 'pop dance', 'pop edm']"
526,Porter Robinson,"['big room', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton', 'progressive electro house']"
527,Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']"
528,Danny Avila,"['big room', 'edm', 'pop dance']"
529,Gorgon City,"['deep groove house', 'disco house', 'edm', 'future garage', 'house', 'pop dance', 'progressive house', 'tropical house', 'uk dance']"
530,Armin van Buuren,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
531,Steff da Campo,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
532,Mike Mago,"['deep groove house', 'deep tropical house', 'disco house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive house', 'tropical house']"
533,Bastille,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']"
534,Timmy Trumpet,"['australian dance', 'edm', 'melbourne bounce', 'melbourne bounce international', 'pop dance']"
535,Arensky,[]
536,Yves V,"['belgian edm', 'big room', 'brazilian edm', 'deep big room', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
537,K CAMP,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'rap', 'southern hip hop', 'trap']"
538,Yaeji,"['art pop', 'electropop', 'escape room', 'experimental house']"
539,Ali Gatie,"['canadian hip hop', 'pop']"
540,11 Acorn Lane,"['electro swing', 'nu jazz']"
541,Sebastian Ingrosso,"['big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
542,Sage The Gemini,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']"
543,BANNERS,"['indie poptimism', 'modern rock', 'pop', 'pop rock']"
544,Duckwrth,"['alternative r&b', 'hip hop', 'indie r&b', 'underground hip hop']"
545,We The Kings,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']"
546,American Authors,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock']"
547,Kid Travis,[]
548,The Offspring,"['alternative metal', 'permanent wave', 'punk', 'rock', 'skate punk', 'socal pop punk']"
549,Deon Custom,"['future bass', 'gaming edm']"
550,K-391,"['gaming edm', 'nordic house']"
551,Zomboy,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap', 'filthstep', 'gaming dubstep', 'glitch']"
552,NERO,"['drum and bass', 'edm', 'electro house', 'melodic dubstep']"
553,Foreign Beggars,"['brostep', 'uk hip hop']"
554,Feed Me,"['brostep', 'complextro', 'edm', 'electro house']"
555,Hellberg,"['chillstep', 'complextro', 'edm', 'electro house', 'gaming edm', 'pop edm']"
556,TheFatRat,[]
557,Dax,"['canadian hip hop', 'ottawa rap', 'pop rap', 'social media pop']"
